,Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
193799,9.02e+17,35,4/7/2021,Superhost,4,XII Monte Verde,5,2,Entire home,6,134.0,35,4.83,4.77,4.89,4.89,4.97,4.8,4.71,3.75,Roma,Early Spring,1,private,"41.87928137851436, 12.460065928081107",3/15/2024
159625,37993513.0,30,5/7/2018,Superhost,5,I Centro Storico,3,2,Entire home,5,160.0,191,4.88,4.92,4.77,4.99,4.96,4.99,4.84,3.67,Roma,Early Winter,2,private,"41.8972, 12.47738",12/15/2024
211964,51938721.0,11,6/28/2018,Superhost,11,I Centro Storico,5,2,Entire home,9,268.0,34,4.88,4.85,4.82,4.94,4.97,4.56,4.88,1.0,Roma,Early Summer,2,private,"41.91025161743164, 12.445782661437988",6/15/2024
82631,27677262.0,9,8/11/2018,Host,2,LORETO,1,1,Entire home,2,77.0,198,4.72,4.79,4.85,4.83,4.85,4.63,4.61,2.82,Milano,Early Summer,1,private,"45.49234, 9.21525",6/15/2024
23564,26727210.0,68,7/9/2018,Superhost,1,Centro Storico,4,3,Entire home,7,280.0,232,4.88,4.94,4.88,4.93,4.91,4.94,4.84,3.21,Firenze,Early Summer,3,private,"43.77733, 11.24893",6/15/2024
200810,5590988.0,42,3/8/2015,Superhost,2,I Centro Storico,2,1,Entire home,3,115.0,263,4.86,4.94,4.67,4.97,4.99,4.98,4.84,2.34,Roma,Early Summer,1,private,"41.89502, 12.49017",6/15/2024
31248,2983600.0,1,8/26/2010,Host,1,Centro Storico,2,2,Entire home,4,150.0,26,4.77,4.85,4.62,4.92,4.96,4.73,4.62,0.21,Firenze,Early Autumn,1,private,"43.76975, 11.24003",9/15/2024
92108,9.18e+17,23,8/4/2017,Host,99,SARPI,3,3,Entire home,6,350.0,23,4.57,4.68,4.5,4.5,4.5,4.59,4.32,2.01,Milano,Early Summer,3,private,"45.4787914997162, 9.172447384248487",6/15/2024
277626,30529544.0,0,12/9/2016,Host,4,Dorsoduro,2,1,Private room,2,169.0,11,5.0,5.0,4.82,5.0,5.0,5.0,5.0,0.16,Venezia,Early Autumn,1,private,"45.43527, 12.32184",9/15/2024
93950,1.01e+18,4,9/2/2022,Host,1,GALLARATESE,2,1,Entire home,4,111.0,4,5.0,5.0,5.0,4.75,5.0,4.75,5.0,0.75,Milano,Early Summer,1,private,"45.49863, 9.09993",6/15/2024
134663,36290573.0,92,6/26/2019,Superhost,1,Avvocata,3,3,Entire home,5,100.0,303,4.84,4.91,4.97,4.89,4.91,4.86,4.87,5.06,Napoli,Early Summer,1,private,"40.84929, 14.24925",6/15/2024
144155,6.41e+17,3,11/5/2018,Host,5,San Ferdinando,1,1,Private room,4,100.0,29,4.83,4.79,4.86,4.79,4.79,4.97,4.83,1.05,Napoli,Early Autumn,1,private,"40.8372, 14.24748",9/15/2024
78653,5489149.0,0,2/27/2015,Host,2,GIAMBELLINO,1,1,Private room,2,65.0,18,4.94,5.0,5.0,5.0,5.0,4.89,5.0,0.17,Milano,Early Spring,1,private,"45.45077, 9.14987",3/15/2024
134452,33632704.0,1,4/5/2019,Superhost,3,Pendino,2,2,Entire home,4,400.0,33,4.7,4.7,4.88,4.76,4.91,4.58,4.55,0.52,Napoli,Early Summer,1,private,"40.84647, 14.26741",6/15/2024
74879,6434948.0,6,3/14/2014,Host,2,CENTRALE,1,1,Entire home,2,104.0,52,4.65,4.82,4.57,4.94,4.92,4.84,4.66,0.5,Milano,Early Spring,1,private,"45.48399, 9.19954",3/15/2024
61865,1.06e+18,5,9/12/2023,Superhost,2,VIGENTINA,0,1,Entire home,4,60.0,5,4.8,4.8,5.0,5.0,4.8,5.0,4.8,2.68,Milano,Early Spring,1,private,"45.45062, 9.19614",3/15/2024
219409,9.36e+17,4,8/10/2018,Host,1,XIV Monte Mario,2,1,Private room,2,106.0,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.45,Roma,Early Summer,1,private,"41.9178242, 12.4376613",6/15/2024
36585,6.46e+17,5,7/12/2013,Host,28,Centro Storico,2,1,Entire home,4,144.0,7,4.57,4.43,4.71,4.86,4.57,4.86,4.57,0.43,Firenze,Early Autumn,1,private,"43.77219, 11.26438",9/15/2024
